id,url,fullText,clean_txt,label,bilstm-attention_pred,finetuned_roberta_pred,bilstm-attention_pred_label,finetuned_roberta_pred_label
1.9e+18,https://x.com/elonmusk/status/1898759859459203457,"@sikorskiradek Be quiet, small man. 

You pay a tiny fraction of the cost. 

And there is no substitute for Starlink.","Be quiet, small man. You pay a tiny fraction of the cost. And there is no substitute for Starlink.",0,0,1,negative,neutral
1.67e+18,https://x.com/elonmusk/status/1672682292584628224,@stclairashley The “pull out” method,"The ""pull out"" method",1,2,1,positive,neutral
1.21e+18,https://x.com/elonmusk/status/1208464373225672704,@engineers_feed I try so hard with these jokes!,I try so hard with these jokes!,1,0,2,negative,positive
1.79e+18,https://x.com/elonmusk/status/1787165820512051626,"Maiden launch of Falcon Heavy, the most powerful operational rocket on Earth, with the first dual rocket landing
 https://t.co/CrzQGeQWU8","Maiden launch of Falcon Heavy, the most powerful operational rocket on Earth, with the first dual rocket landing",2,2,1,positive,neutral
1.9e+18,https://x.com/elonmusk/status/1898946634383269898,"@CollinRugg This is so crazy! Let the man keep his treehouse. It looks cool. 

Also, vote Republican for smaller government, so this bs stops happening!","This is so crazy! Let the man keep his treehouse. It looks cool. Also, vote Republican for smaller government, so this bs stops happening!",2,0,1,negative,neutral
1.77e+18,https://x.com/elonmusk/status/1769216436273021439,"@WallStreetSilv Yeah, we dodged a lemon 🍋 for sure 😂

He is a beyond entitled and his show is unwatchable.","Yeah, we dodged a lemon for sure He is a beyond entitled and his show is unwatchable.",1,2,0,positive,negative
1.78e+18,https://x.com/elonmusk/status/1780376546148327690,"@WholeMarsBlog Not quite betting the company, but going balls to the wall for autonomy is a blindingly obvious move. 

Everything else is like variations on a horse carriage.","Not quite betting the company, but going balls to the wall for autonomy is a blindingly obvious move. Everything else is like variations on a horse carriage.",1,0,1,negative,neutral
1.23e+18,https://x.com/elonmusk/status/1230439298874343424,"High bay for stacking Starship engine bay, propellant tanks &amp; fairing (fka nosecone) sections is almost done! https://t.co/G9h0430ns2","High bay for stacking Starship engine bay, propellant tanks & fairing (fka nosecone) sections is almost done!",1,0,1,negative,neutral
1.45e+18,https://x.com/elonmusk/status/1454610032679600129,"@hsumacher @Tesla Indeed. The factory was empty at the time, stripped of all equipment that wasn’t worth even its scrap value. But we salvaged what was left &amp; fixed up the old machines so some could work again.","Indeed. The factory was empty at the time, stripped of all equipment that wasn't worth even its scrap value. But we salvaged what was left & fixed up the old machines so some could work again.",0,0,1,negative,neutral
1.71e+18,https://x.com/elonmusk/status/1710433370281259433,"@davidzweig “What would Orwell say?”
The T-shirt","""What would Orwell say?"" The T-shirt",2,2,1,positive,neutral
1.44e+18,https://x.com/elonmusk/status/1437203967902167045,@PPathole They are … not yet friends,They are … not yet friends,2,0,1,negative,neutral
1.13e+18,https://x.com/elonmusk/status/1132905669110054912,"@GoForStaging @13ericralph31 @varunversion1 @Erdayastronaut @SpaceX Yes, already planned. We avoid use of certain lower Ku frequencies specifically for radio astronomy.","Yes, already planned. We avoid use of certain lower Ku frequencies specifically for radio astronomy.",2,0,1,negative,neutral
1.35e+18,https://x.com/elonmusk/status/1354667352625979395,@avalonpenrose A hedge fund that shorts is a shrubbery,A hedge fund that shorts is a shrubbery,2,0,1,negative,neutral
