id,url,fullText,clean_txt,label,cardiff_roberta_pred,weighted-naive-bayes-lr_pred,cardiff_roberta_pred_label,weighted-naive-bayes-lr_pred_label
1.7e+18,https://x.com/elonmusk/status/1700795854729232671,Aka opening your email https://t.co/QKe4aButYQ,Aka opening your email,1,1,0,neutral,negative
7.89e+17,https://x.com/elonmusk/status/789008557341454336,@vicentes latest autonomous hardware allows for easy computer upgrade,latest autonomous hardware allows for easy computer upgrade,2,2,1,positive,neutral
1.9e+18,https://x.com/elonmusk/status/1898759859459203457,"@sikorskiradek Be quiet, small man. 

You pay a tiny fraction of the cost. 

And there is no substitute for Starlink.","Be quiet, small man. You pay a tiny fraction of the cost. And there is no substitute for Starlink.",0,0,1,negative,neutral
1.82e+18,https://x.com/elonmusk/status/1822529113007292522,"@WallStreetSilv Tragically, this is too often true","Tragically, this is too often true",0,0,1,negative,neutral
1.9e+18,https://x.com/elonmusk/status/1898946634383269898,"@CollinRugg This is so crazy! Let the man keep his treehouse. It looks cool. 

Also, vote Republican for smaller government, so this bs stops happening!","This is so crazy! Let the man keep his treehouse. It looks cool. Also, vote Republican for smaller government, so this bs stops happening!",2,0,2,negative,positive
1.77e+18,https://x.com/elonmusk/status/1769216436273021439,"@WallStreetSilv Yeah, we dodged a lemon 🍋 for sure 😂

He is a beyond entitled and his show is unwatchable.","Yeah, we dodged a lemon for sure He is a beyond entitled and his show is unwatchable.",1,0,1,negative,neutral
1.78e+18,https://x.com/elonmusk/status/1780376546148327690,"@WholeMarsBlog Not quite betting the company, but going balls to the wall for autonomy is a blindingly obvious move. 

Everything else is like variations on a horse carriage.","Not quite betting the company, but going balls to the wall for autonomy is a blindingly obvious move. Everything else is like variations on a horse carriage.",1,0,1,negative,neutral
1.43e+18,https://x.com/elonmusk/status/1432497810004402177,The dark side of OnlyFans … https://t.co/EpMP1q62jn,The dark side of OnlyFans …,2,0,1,negative,neutral
1.35e+18,https://x.com/elonmusk/status/1354667352625979395,@avalonpenrose A hedge fund that shorts is a shrubbery,A hedge fund that shorts is a shrubbery,2,0,1,negative,neutral
1.86e+18,https://x.com/elonmusk/status/1856349325896392787,Becoming multiplanetary will greatly increase the lifespan of our civilization and it is the critical next step to becoming multistellar,Becoming multiplanetary will greatly increase the lifespan of our civilization and it is the critical next step to becoming multistellar,1,2,1,positive,neutral
1.67e+18,https://x.com/elonmusk/status/1669142093875347456,@cb_doge Not bad,Not bad,2,2,1,positive,neutral
1.68e+18,https://x.com/elonmusk/status/1680360251810349056,@BillyM2k We are working on it. High priority.,We are working on it. High priority.,2,2,1,positive,neutral
1.84e+18,https://x.com/elonmusk/status/1840988697124041098,"@stclairashley Literally! Your average library has more identity verification than California requires for voting. 

I wonder why 🤔",Literally! Your average library has more identity verification than California requires for voting. I wonder why,0,0,1,negative,neutral
1.7e+18,https://x.com/elonmusk/status/1703325625283727504,@cremieuxrecueil Important to stay that way,Important to stay that way,2,1,2,neutral,positive
1.77e+18,https://x.com/elonmusk/status/1771985911741599832,"@Jason If you don’t own your own home, you own nothing","If you don't own your own home, you own nothing",0,0,1,negative,neutral
1.85e+18,https://x.com/elonmusk/status/1853071386425651582,She wants to break the Constitution,She wants to break the Constitution,0,0,1,negative,neutral
1.84e+18,https://x.com/elonmusk/status/1842039975107285500,@pmarca @robkhenderson That cycle has happened so many times,That cycle has happened so many times,1,0,1,negative,neutral
