id,url,fullText,clean_text,label
8.12692E+17,https://x.com/elonmusk/status/812691977217024000,"@SweensChris Should complete in 2017. One is def planned for Swift Current, near my cousin's wheat farm where I had my 18th bday.","Should complete in 2017. One is def planned for Swift Current, near my cousin's wheat farm where I had my 18th bday.",1
8.22131E+17,https://x.com/elonmusk/status/822130935588000000,"@cameronrad Not specifically, but there have been several incidences of pedestrian and bicyclist lives saved by Autopilot","Not specifically, but there have been several incidences of pedestrian and bicyclist lives saved by Autopilot",2
8.48936E+17,https://x.com/elonmusk/status/848935705057280000,Stormy weather in Shortville ...,Stormy weather in Shortville ...,1
8.70412E+17,https://x.com/elonmusk/status/870411649622000000,India commits to sell only electric cars by 2030. It is already the largest market for solar power. https://t.co/EGBNTPzmE5,India commits to sell only electric cars by 2030. It is already the largest market for solar power.,2
8.89752E+17,https://x.com/elonmusk/status/889751762944512000,@lars_0 @dcunni @SVbizjournal Movie on the subject coming soon...,Movie on the subject coming soon...,1
9.02811E+17,https://x.com/elonmusk/status/902810547384496000,@AdolfOosthuizen They're so real. Anyone going to that much trouble must really care. I'd gladly follow their comma… https://t.co/l4PGniSimd,They're so real. Anyone going to that much trouble must really care. I'd gladly follow their comma…,2
732247546924388352,https://x.com/elonmusk/status/732247546924388352,"Response to a Mercury News article about an injury on our premises
https://t.co/3BFgV6Hfia",Response to a Mercury News article about an injury on our premises,1
733009265288314880,https://x.com/elonmusk/status/733009265288314880,"@jlgolson Yes, but it is false of Merc News to say that Tesla took advantage of low cost labor. We paid $55/hr. That is unequivocal.","Yes, but it is false of Merc News to say that Tesla took advantage of low cost labor. We paid $55/hr. That is unequivocal.",0
735965207625932800,https://x.com/elonmusk/status/735965207625932800,"@SpaceX There was a tiny glitch in the motion of an upper stage engine actuator. Probably not a flight risk, but still worth investigating.","There was a tiny glitch in the motion of an upper stage engine actuator. Probably not a flight risk, but still worth investigating.",0
736319295345434624,https://x.com/elonmusk/status/736319295345434624,"Satellite deployed to 91,000 km apogee. All looks good.","Satellite deployed to 91,000 km apogee. All looks good.",2
736320322996076544,https://x.com/elonmusk/status/736320322996076544,"Rocket landing speed was close to design max &amp; used up contingency crush core, hence back &amp; forth motion. Prob ok, but some risk of tipping.","Rocket landing speed was close to design max &amp; used up contingency crush core, hence back &amp; forth motion. Prob ok, but some risk of tipping.",1
736787058170068992,https://x.com/elonmusk/status/736787058170068992,So it was good for you too ... https://t.co/9cxo39N1lQ,So it was good for you too ...,2
737859967450021888,https://x.com/elonmusk/status/737859967450021888,Good summary of Tesla annual meeting by @katiefehren https://t.co/G3enS77hJ7,Good summary of Tesla annual meeting by,2
738775567055523840,https://x.com/elonmusk/status/738775567055523840,"Yay, baby made it home!
https://t.co/KYyUX9zNYD","Yay, baby made it home!",2
739001483249618944,https://x.com/elonmusk/status/739001483249618944,@renzdimaandal @Tom_Stears It is simulations all the way down,It is simulations all the way down,1
739509168722186240,https://x.com/elonmusk/status/739509168722186240,@ahess247 @Recode I love Douglas Adams! My favorite spaceship ever is in HHGTTG.,I love Douglas Adams! My favorite spaceship ever is in HHGTTG.,2
740383850820296704,https://x.com/elonmusk/status/740383850820296704,Would like to clarify that Tesla is working exclusively with Panasonic for Model 3 cells. News articles claiming otherwise are incorrect.,Would like to clarify that Tesla is working exclusively with Panasonic for Model 3 cells. News articles claiming otherwise are incorrect.,1
741411531582115840,https://x.com/elonmusk/status/741411531582115840,"Of greater concern: 37 of 40 suspension complaints to NHTSA were fraudulent, i.e. false location or vehicle identification numbers were used","Of greater concern: 37 of 40 suspension complaints to NHTSA were fraudulent, i.e. false location or vehicle identification numbers were used",0
742107564733661184,https://x.com/elonmusk/status/742107564733661184,Latest science predicts &gt; trillion alien civilizations. Either they don't last long or there are a *lot* of aliens https://t.co/oC9B2FlUuF,Latest science predicts &gt; trillion alien civilizations. Either they don't last long or there are a *lot* of aliens,1
742108297122054144,https://x.com/elonmusk/status/742108297122054144,"And, no, I'm not an alien...but I used to be one","And, no, I'm not an alien...but I used to be one",1
742108893459800064,https://x.com/elonmusk/status/742108893459800064,"@rsmoz That, speed of light constraint and quantum mechanics","That, speed of light constraint and quantum mechanics",1
742120520678703104,https://x.com/elonmusk/status/742120520678703104,Highly recommend anything by Sean Carroll https://t.co/yVbceZm0Io,Highly recommend anything by Sean Carroll,2
743096769001578496,https://x.com/elonmusk/status/743096769001578496,"Ascent phase &amp; satellites look good, but booster rocket had a RUD on droneship","Ascent phase &amp; satellites look good, but booster rocket had a RUD on droneship",1
743097337782763520,https://x.com/elonmusk/status/743097337782763520,Looks like thrust was low on 1 of 3 landing engines. High g landings v sensitive to all engines operating at max.,Looks like thrust was low on 1 of 3 landing engines. High g landings v sensitive to all engines operating at max.,0
743098357728444416,https://x.com/elonmusk/status/743098357728444416,@AstroOrionMK @BadAstronomer Quite rapid... Yes,Quite rapid... Yes,1
743600755739754496,https://x.com/elonmusk/status/743600755739754496,@fucktyler Thanks Tyler,Thanks Tyler,2
744551674082136064,https://x.com/elonmusk/status/744551674082136064,"We *def* don't recommended this, but Model S floats well enough to turn it into a boat for short periods of time. Thrust via wheel rotation.","We *def* don't recommended this, but Model S floats well enough to turn it into a boat for short periods of time. Thrust via wheel rotation.",2
748140919501656064,https://x.com/elonmusk/status/748140919501656064,"My son recently asked what my favorite animal was. Well, of course … https://t.co/hpTniMe1mF","My son recently asked what my favorite animal was. Well, of course …",1
748625979271045120,https://x.com/elonmusk/status/748625979271045120,@artem_zin @theaweary Radar tunes out what looks like an overhead road sign to avoid false braking events,Radar tunes out what looks like an overhead road sign to avoid false braking events,1
750836652109594624,https://x.com/elonmusk/status/750836652109594624,"@disinformatico @Eddy_Jahn Tesla Tesla Autopilot is named after aircraft autopilot, as it is always expected that a pilot must stay alert.","Tesla Tesla Autopilot is named after aircraft autopilot, as it is always expected that a pilot must stay alert.",1
751318492775747584,https://x.com/elonmusk/status/751318492775747584,"@mrmeireles true, good point","true, good point",2
