id,url,fullText,clean_txt,label,finetuned_roberta_pred,naive_bayes_pred,finetuned_roberta_pred_label,naive_bayes_pred_label
1.74e+18,https://x.com/elonmusk/status/1738274350921306519,"@SergiXPlaid @SmallPettingZoo Photons in, motor commands out","Photons in, motor commands out",1,1,0,neutral,negative
1.7e+18,https://x.com/elonmusk/status/1700795854729232671,Aka opening your email https://t.co/QKe4aButYQ,Aka opening your email,1,1,2,neutral,positive
7.89e+17,https://x.com/elonmusk/status/789008557341454336,@vicentes latest autonomous hardware allows for easy computer upgrade,latest autonomous hardware allows for easy computer upgrade,2,2,1,positive,neutral
1.67e+18,https://x.com/elonmusk/status/1672682292584628224,@stclairashley The “pull out” method,"The ""pull out"" method",1,1,2,neutral,positive
1.82e+18,https://x.com/elonmusk/status/1822529113007292522,"@WallStreetSilv Tragically, this is too often true","Tragically, this is too often true",0,0,2,negative,positive
1.41e+18,https://x.com/elonmusk/status/1408545456746020866,"@marcodzo @Tesla Sometimes people think it is performance, but safety is always the primary design requirement for a Tesla","Sometimes people think it is performance, but safety is always the primary design requirement for a Tesla",2,1,2,neutral,positive
1.53e+18,https://x.com/elonmusk/status/1527733001584623618,Sus man,Sus man,1,1,0,neutral,negative
1.87e+18,https://x.com/elonmusk/status/1867382157078868416,Your Tesla can now drive you from your house in one complex city to another house in a different complex city,Your Tesla can now drive you from your house in one complex city to another house in a different complex city,1,1,0,neutral,negative
1.9e+18,https://x.com/elonmusk/status/1898946634383269898,"@CollinRugg This is so crazy! Let the man keep his treehouse. It looks cool. 

Also, vote Republican for smaller government, so this bs stops happening!","This is so crazy! Let the man keep his treehouse. It looks cool. Also, vote Republican for smaller government, so this bs stops happening!",2,1,2,neutral,positive
1.77e+18,https://x.com/elonmusk/status/1769216436273021439,"@WallStreetSilv Yeah, we dodged a lemon 🍋 for sure 😂

He is a beyond entitled and his show is unwatchable.","Yeah, we dodged a lemon for sure He is a beyond entitled and his show is unwatchable.",1,0,2,negative,positive
1.78e+18,https://x.com/elonmusk/status/1780376546148327690,"@WholeMarsBlog Not quite betting the company, but going balls to the wall for autonomy is a blindingly obvious move. 

Everything else is like variations on a horse carriage.","Not quite betting the company, but going balls to the wall for autonomy is a blindingly obvious move. Everything else is like variations on a horse carriage.",1,1,0,neutral,negative
1.23e+18,https://x.com/elonmusk/status/1230439298874343424,"High bay for stacking Starship engine bay, propellant tanks &amp; fairing (fka nosecone) sections is almost done! https://t.co/G9h0430ns2","High bay for stacking Starship engine bay, propellant tanks & fairing (fka nosecone) sections is almost done!",1,1,0,neutral,negative
1.23e+18,https://x.com/elonmusk/status/1230367034397077504,@tesletter In the order that they were written,In the order that they were written,2,1,0,neutral,negative
1.45e+18,https://x.com/elonmusk/status/1454610032679600129,"@hsumacher @Tesla Indeed. The factory was empty at the time, stripped of all equipment that wasn’t worth even its scrap value. But we salvaged what was left &amp; fixed up the old machines so some could work again.","Indeed. The factory was empty at the time, stripped of all equipment that wasn't worth even its scrap value. But we salvaged what was left & fixed up the old machines so some could work again.",0,1,2,neutral,positive
1.25e+18,https://x.com/elonmusk/status/1251386583846023171,"@tobyliiiiiiiiii @MichaelCanary02 @Erdayastronaut @dwesterster No, as the header tanks are quite small relative to main (~30 tons vs 1200 tons). Only uses very tip of the nose.","No, as the header tanks are quite small relative to main (~30 tons vs 1200 tons). Only uses very tip of the nose.",2,1,0,neutral,negative
1.44e+18,https://x.com/elonmusk/status/1437203967902167045,@PPathole They are … not yet friends,They are … not yet friends,2,1,0,neutral,negative
