text,clean_text,sentiment,source
" I`d have responded, if I were going","I`d have responded, if I were going",1,tsad
 Sooo SAD I will miss you here in San Diego!!!,Sooo SAD I will miss you here in San Diego!!!,0,tsad
my boss is bullying me...,my boss is bullying me...,0,tsad
 what interview! leave me alone,what interview! leave me alone,0,tsad
" Sons of ****, why couldn`t they put them on the releases we already bought","Sons of ***, why couldn`t they put them on the releases we already bought",0,tsad
http://www.dothebouncy.com/smf - some shameless plugging for the best Rangers forum on earth,- some shameless plugging for the best Rangers forum on earth,1,tsad
2am feedings for the baby are fun when he is all smiles and coos,2am feedings for the baby are fun when he is all smiles and coos,2,tsad
Soooo high,Sooo high,1,tsad
 Both of you,Both of you,1,tsad
 Journey!? Wow... u just became cooler.  hehe... (is that possible!?),Journey!? Wow... u just became cooler. hehe... (is that possible!?),2,tsad
" as much as i love to be hopeful, i reckon the chances are minimal =P i`m never gonna get my cake and stuff","as much as i love to be hopeful, i reckon the chances are minimal =P i`m never gonna get my cake and stuff",1,tsad
I really really like the song Love Story by Taylor Swift,I really really like the song Love Story by Taylor Swift,2,tsad
My Sharpie is running DANGERously low on ink,My Sharpie is running DANGERously low on ink,0,tsad
i want to go to music tonight but i lost my voice.,i want to go to music tonight but i lost my voice.,0,tsad
test test from the LG enV2,test test from the LG enV2,1,tsad
"Uh oh, I am sunburned","Uh oh, I am sunburned",0,tsad
" S`ok, trying to plot alternatives as we speak *sigh*","S`ok, trying to plot alternatives as we speak *sigh*",0,tsad
"i`ve been sick for the past few days  and thus, my hair looks wierd.  if i didnt have a hat on it would look... http://tinyurl.com/mnf4kw","i`ve been sick for the past few days and thus, my hair looks wierd. if i didnt have a hat on it would look...",0,tsad
is back home now      gonna miss every one,is back home now gonna miss every one,0,tsad
Hes just not that into you,Hes just not that into you,1,tsad
" oh Marly, I`m so sorry!!  I hope you find her soon!! <3 <3","oh Marly, I`m so sorry!! I hope you find her soon!! <3 <3",1,tsad
Playing Ghost Online is really interesting. The new updates are Kirin pet and Metamorph for third job.  Can`t wait to have a dragon pet,Playing Ghost Online is really interesting. The new updates are Kirin pet and Metamorph for third job. Can`t wait to have a dragon pet,2,tsad
