id,url,fullText,clean_txt,label,bilstm-attention_pred,logistic_regression_pred,bilstm-attention_pred_label,logistic_regression_pred_label
1.7e+18,https://x.com/elonmusk/status/1700795854729232671,Aka opening your email https://t.co/QKe4aButYQ,Aka opening your email,1,1,0,neutral,negative
7.89e+17,https://x.com/elonmusk/status/789008557341454336,@vicentes latest autonomous hardware allows for easy computer upgrade,latest autonomous hardware allows for easy computer upgrade,2,2,1,positive,neutral
1.9e+18,https://x.com/elonmusk/status/1898759859459203457,"@sikorskiradek Be quiet, small man. 

You pay a tiny fraction of the cost. 

And there is no substitute for Starlink.","Be quiet, small man. You pay a tiny fraction of the cost. And there is no substitute for Starlink.",0,0,1,negative,neutral
1.67e+18,https://x.com/elonmusk/status/1672682292584628224,@stclairashley The “pull out” method,"The ""pull out"" method",1,2,1,positive,neutral
1.82e+18,https://x.com/elonmusk/status/1822529113007292522,"@WallStreetSilv Tragically, this is too often true","Tragically, this is too often true",0,0,2,negative,positive
1.87e+18,https://x.com/elonmusk/status/1867382157078868416,Your Tesla can now drive you from your house in one complex city to another house in a different complex city,Your Tesla can now drive you from your house in one complex city to another house in a different complex city,1,1,0,neutral,negative
1.9e+18,https://x.com/elonmusk/status/1898946634383269898,"@CollinRugg This is so crazy! Let the man keep his treehouse. It looks cool. 

Also, vote Republican for smaller government, so this bs stops happening!","This is so crazy! Let the man keep his treehouse. It looks cool. Also, vote Republican for smaller government, so this bs stops happening!",2,0,2,negative,positive
1.23e+18,https://x.com/elonmusk/status/1230367034397077504,@tesletter In the order that they were written,In the order that they were written,2,1,0,neutral,negative
1.25e+18,https://x.com/elonmusk/status/1251386583846023171,"@tobyliiiiiiiiii @MichaelCanary02 @Erdayastronaut @dwesterster No, as the header tanks are quite small relative to main (~30 tons vs 1200 tons). Only uses very tip of the nose.","No, as the header tanks are quite small relative to main (~30 tons vs 1200 tons). Only uses very tip of the nose.",2,1,0,neutral,negative
1.71e+18,https://x.com/elonmusk/status/1710433370281259433,"@davidzweig “What would Orwell say?”
The T-shirt","""What would Orwell say?"" The T-shirt",2,2,1,positive,neutral
1.44e+18,https://x.com/elonmusk/status/1437203967902167045,@PPathole They are … not yet friends,They are … not yet friends,2,0,1,negative,neutral
1.13e+18,https://x.com/elonmusk/status/1132905669110054912,"@GoForStaging @13ericralph31 @varunversion1 @Erdayastronaut @SpaceX Yes, already planned. We avoid use of certain lower Ku frequencies specifically for radio astronomy.","Yes, already planned. We avoid use of certain lower Ku frequencies specifically for radio astronomy.",2,0,1,negative,neutral
1.35e+18,https://x.com/elonmusk/status/1354667352625979395,@avalonpenrose A hedge fund that shorts is a shrubbery,A hedge fund that shorts is a shrubbery,2,0,1,negative,neutral
1.6e+18,https://x.com/elonmusk/status/1603985491505795072,Twitter will start incorporating mute &amp; block signals from Blue Verified (not Legacy Blue) as downvotes,Twitter will start incorporating mute & block signals from Blue Verified (not Legacy Blue) as downvotes,2,2,0,positive,negative
1.5e+18,https://x.com/elonmusk/status/1499442132402130951,"@FedorovMykhailo @SpaceX @SpaceXStarlink @Honda @ChampionGen @westinghouse @DuroMaxPower Updating software to reduce peak power consumption, so Starlink can be powered from car cigarette lighter.

Mobile roaming enabled, so phased array antenna can maintain signal while on moving vehicle.","Updating software to reduce peak power consumption, so Starlink can be powered from car cigarette lighter. Mobile roaming enabled, so phased array antenna can maintain signal while on moving vehicle.",2,0,1,negative,neutral
1.27e+18,https://x.com/elonmusk/status/1269370365651738624,@MKBHD Big line at the barbershop,Big line at the barbershop,0,1,2,neutral,positive
